 B-field(Tesla)    Berror(Tesla)      Current(Ampere)
 3.1951e-06        3.3110e-07         14.2499
 2.7243e-06        3.2283e-07         10.5422
 4.0677e-06        2.7596e-07         19.7125
 9.8096e-07        2.9644e-07          4.4775
 2.0676e-06        3.1946e-07         10.1860
 4.0780e-06        3.2373e-07         16.8842
 2.7148e-06        2.7179e-07          8.8612
 2.2946e-06        3.1785e-07          8.4507
 2.7541e-06        2.8157e-07         13.5582
 1.6161e-06        2.8178e-07          4.7995
 6.4438e-07        3.5696e-07          0.1884
 2.4558e-06        3.2440e-07          8.1418
 4.4813e-06        3.0459e-07         19.8883
 3.7239e-06        3.1491e-07         14.2103
 2.5275e-06        3.1797e-07         11.9803
 1.9166e-06        2.8257e-07          9.0892
 8.1065e-07        3.0279e-07          0.8098
 4.4538e-06        3.0971e-07         18.7258
 3.0812e-06        2.9876e-07         12.2224
 1.0372e-06        3.1374e-07          2.3189
 4.4006e-06        2.9730e-07         18.9482
 3.0485e-06        2.8636e-07         12.1267
 3.8361e-07        2.7778e-07          0.6177
 1.8427e-06        2.6098e-07          5.7501
 1.2342e-06        2.9303e-07          4.1732
 7.4192e-07        3.1054e-07          0.5981
 4.7241e-06        3.2869e-07         18.7806
 8.0882e-07        2.8926e-07          2.3651
 2.8588e-06        2.7865e-07         11.1206
 2.2633e-06        3.0333e-07          7.9148
 3.3299e-06        3.1434e-07         16.2873
 3.4658e-06        2.9440e-07         12.9172
 4.0578e-06        3.0852e-07         18.1084
 4.2414e-06        3.0345e-07         19.7514
 1.5830e-06        3.0521e-07          6.4800
 3.1336e-06        2.5681e-07         12.7272
 1.1926e-06        3.1115e-07          3.5692
 4.4981e-06        3.2497e-07         19.9881
 2.0426e-06        2.8591e-07          6.7575
 1.9498e-06        3.0473e-07          8.9361
 1.8871e-06        3.1596e-07          7.4575
 9.3727e-07        2.7409e-07          3.4304
 1.9543e-06        3.0566e-07          6.0147
 1.5084e-06        2.9179e-07          3.7468
 1.1742e-06        2.8985e-07          2.3859
 1.7682e-06        2.8541e-07          7.9947
 3.4670e-06        2.8347e-07         14.7596
 2.6478e-06        3.1202e-07         10.6935
 1.3633e-06        3.3146e-07          4.1728
 1.8628e-06        2.5025e-07          8.4639
 1.2147e-06        3.1801e-07          1.5512
 4.6437e-06        2.8341e-07         18.5923
 2.7394e-06        3.0431e-07         10.7483
 2.6061e-06        3.0429e-07          9.4063
 2.5739e-06        3.3462e-07         12.4082
 3.4460e-06        2.7230e-07         13.7841
 3.8818e-06        2.9241e-07         18.0654
 2.8678e-06        3.0910e-07         10.8177
 8.9701e-07        3.4386e-07          2.6829
 3.8783e-06        3.1585e-07         15.6639
 2.4541e-06        3.3111e-07          9.4974
 7.2472e-07        3.2882e-07          0.2149
 9.3892e-07        3.5058e-07          1.0522
 2.1202e-06        2.3891e-07          6.9197
 5.2688e-07        3.0284e-07          1.9716
 2.5370e-06        3.0847e-07          9.5464
 4.0629e-06        2.9305e-07         15.8998
 2.4656e-06        2.8964e-07          7.6766
 3.2280e-06        2.8236e-07         15.1599
 4.8663e-06        3.6039e-07         19.9968
 2.6530e-06        3.2087e-07         11.0458
 2.0659e-06        2.5297e-07          6.6470
 3.8386e-06        3.6080e-07         14.8749
 3.1816e-06        3.3727e-07         13.4056
 3.7663e-06        2.4904e-07         16.2420
 2.4886e-06        2.8876e-07         10.2319
 3.7898e-06        3.0186e-07         16.7399
 5.5084e-07        2.8155e-07          2.5439
 4.4197e-07        2.9527e-07          1.2209
 9.8003e-07        3.2035e-07          4.4260
 1.3889e-06        3.3682e-07          4.9109
 3.4662e-06        3.2889e-07         12.8055
 2.7974e-07        3.0053e-07          1.2349
 4.2446e-06        3.0013e-07         18.8316
 1.1458e-06        3.3268e-07          2.0115
 3.5196e-06        2.7942e-07         17.3357
 1.2293e-06        2.9379e-07          4.7887
 1.8304e-06        3.0916e-07          5.7235
 3.3400e-06        3.4557e-07         13.9186
 9.6236e-08        3.3774e-07          0.2824
 3.4641e-06        2.4887e-07         16.2896
 2.6770e-06        2.9701e-07          9.3440
 3.4421e-06        2.9467e-07         16.0117
 2.1025e-06        2.9489e-07          9.1384
 1.1917e-06        3.0395e-07          2.6660
 9.9343e-07        3.0899e-07          2.8867
 2.5308e-06        3.4110e-07         11.6415
 1.2084e-06        3.0205e-07          1.8808
 4.1353e-06        3.1185e-07         16.5184
 4.1204e-06        2.7041e-07         17.3549
 1.8219e-06        2.9819e-07          8.0865
 2.6923e-06        3.4080e-07         11.6606
 4.0093e-06        3.6053e-07         18.2707
 2.7345e-06        3.2717e-07          9.6405
 3.1584e-06        3.2717e-07         11.8907
 9.0872e-07        3.1069e-07          3.1214
 3.2577e-06        3.4138e-07         13.7077
 4.3098e-06        3.0178e-07         18.6296
 1.1913e-06        2.8523e-07          3.5296
 1.8887e-06        2.8874e-07          9.2992
 3.7047e-06        2.6533e-07         14.2264
 3.9471e-07        2.6617e-07          0.3460
 3.3845e-06        3.2989e-07         15.5446
 3.7178e-06        3.1898e-07         15.0469
 1.9781e-06        2.9646e-07          5.5522
 4.0158e-06        2.7724e-07         18.9528
 1.4105e-06        3.6552e-07          5.0944
 1.5603e-06        3.1136e-07          6.3813
 2.7824e-06        3.1851e-07          9.9543
 2.5069e-06        2.9195e-07         10.6453
 2.8102e-06        2.8682e-07          9.7424
 1.8063e-06        2.8402e-07          5.7861
 3.7068e-06        3.3637e-07         14.7004
 2.1160e-06        3.0728e-07          7.4348
 1.9641e-06        2.9271e-07          7.1524
 2.7402e-06        2.9258e-07          8.9496
 2.6446e-06        3.4360e-07          9.7197
 4.9041e-06        2.8533e-07         19.6323
 1.9610e-06        3.0448e-07          6.5027
 2.3968e-06        3.1609e-07         11.0670
 1.2151e-06        3.3983e-07          2.0961
 1.6638e-06        3.1676e-07          7.0850
 3.8310e-06        2.7789e-07         16.8895
 1.7599e-06        3.3686e-07          7.9329
 4.8390e-06        2.9370e-07         19.9406
 3.9593e-06        3.4544e-07         19.1237
 2.7619e-06        3.2996e-07         13.5893
 1.6839e-06        2.7146e-07          7.9160
 1.9933e-06        2.8276e-07          8.4512
 1.7312e-06        2.6006e-07          7.8847
 3.4695e-06        3.3722e-07         15.8579
 4.4267e-06        3.2322e-07         19.5488
 3.2268e-06        2.4240e-07         11.5198
 3.9118e-06        3.3798e-07         18.2999
 4.0216e-06        3.7189e-07         19.8164
 3.7600e-06        3.2253e-07         15.3953
 1.9039e-06        3.1903e-07          5.6654
 3.1529e-06        2.8337e-07         13.7088
 4.3391e-06        2.7357e-07         17.3977
 3.7936e-06        3.2319e-07         17.1061
 3.6235e-06        3.0949e-07         15.7968
 1.2357e-06        2.7537e-07          5.1889
 1.2345e-06        3.0247e-07          4.7326
 2.8316e-07        2.8749e-07          0.5296
 1.0782e-06        3.4062e-07          2.2611
 2.9040e-06        3.1007e-07         10.6250
 3.2289e-06        3.4520e-07         12.5015
 1.1788e-06        2.9156e-07          1.6628
 3.4002e-06        3.7714e-07         14.7320
 3.1213e-07        3.2132e-07          1.0147
 2.6011e-06        3.3044e-07         11.5700
 1.1316e-06        2.8711e-07          3.2212
 4.1408e-06        2.8831e-07         19.5035
 1.2146e-06        2.8269e-07          5.6994
 1.0124e-06        3.2975e-07          2.1084
 2.1557e-06        3.3032e-07          7.4165
 3.6676e-06        3.2686e-07         15.5144
 3.8135e-06        3.0771e-07         16.6818
 5.6704e-07        3.3196e-07          0.5645
 1.9985e-06        3.3545e-07          7.5970
 7.9996e-07        3.4325e-07          3.0344
 1.3876e-06        3.1611e-07          2.3180
 3.5441e-06        2.9403e-07         13.6497
 3.0009e-06        2.9573e-07         13.4435
 4.3122e-06        3.1574e-07         19.0952
 3.1184e-06        3.4502e-07         13.8925
 4.3457e-07        3.0780e-07          0.5053
 8.7572e-07        2.9616e-07          1.2753
 2.4909e-06        3.4348e-07         10.6868
 4.5480e-06        2.8341e-07         19.6146
 4.7969e-06        3.1427e-07         19.6289
 9.3988e-07        2.4618e-07          4.4195
 3.8212e-06        3.0203e-07         14.3353
 3.7015e-06        3.1287e-07         14.4941
 9.4350e-07        3.0915e-07          1.9335
 2.3428e-06        2.7225e-07         10.5931
 1.4723e-06        3.3683e-07          6.4378
 4.5699e-06        3.1158e-07         17.9840
 9.1592e-07        2.9571e-07          3.1807
 2.0775e-06        3.2778e-07          6.0349
 1.4762e-07        3.4938e-07          0.5703
 2.0287e-06        2.9570e-07          5.7580
 4.2812e-06        2.9723e-07         18.4000
 2.8023e-06        2.9326e-07         13.6308
 3.5985e-06        3.0133e-07         13.5841
 1.6373e-06        2.8711e-07          7.0739
 6.7981e-07        3.0978e-07          0.1054
 1.1267e-06        3.7303e-07          5.1990
 3.4869e-06        3.1833e-07         13.5722
 7.3121e-07        2.7637e-07          3.2468
 2.2615e-06        2.7358e-07         10.4557
 4.1920e-06        2.8661e-07         19.2387
 3.9788e-06        2.6964e-07         15.9714
 3.4170e-06        2.9494e-07         12.4181
 2.0558e-06        2.7574e-07          6.7501
 2.1427e-06        3.4787e-07          6.7520
 1.5048e-06        2.5341e-07          5.7157
 1.1528e-06        2.4708e-07          2.7307
 3.4347e-06        3.3490e-07         16.1470
 1.7032e-06        3.5136e-07          6.0967
 2.4945e-06        3.1229e-07          9.8180
 1.5081e-06        3.2503e-07          3.9132
 2.5040e-06        3.3206e-07          9.7925
 3.2761e-06        2.7694e-07         12.3243
 2.8744e-06        3.0694e-07         12.0080
 2.8805e-06        2.5782e-07         13.9730
 3.9096e-06        3.2424e-07         17.9450
 1.8612e-06        2.8213e-07          7.4279
 8.6923e-07        2.9428e-07          0.2307
 1.2042e-06        2.9514e-07          2.6284
 4.2232e-06        3.1242e-07         19.3900
 1.5541e-06        3.2327e-07          3.7844
 2.5006e-06        2.7694e-07         11.1055
 4.0372e-06        3.1449e-07         19.6470
 3.5926e-06        3.3629e-07         14.8357
 1.2191e-06        3.0129e-07          3.4357
 3.0175e-06        2.8188e-07         13.5864
 2.6843e-06        2.8147e-07         12.0351
 3.8443e-06        3.1729e-07         15.1705
 1.4394e-06        2.7243e-07          5.2525
 3.1163e-07        2.9074e-07          0.2209
 2.8770e-06        3.1425e-07         10.1759
 6.2900e-07        2.6990e-07          2.5525
 1.4810e-06        3.2893e-07          2.8430
 1.8885e-06        3.0868e-07          8.4749
 3.5368e-06        3.3424e-07         15.7453
 3.6602e-06        3.2647e-07         13.5595
 2.3173e-06        2.0580e-07         10.8295
 2.0453e-06        3.0726e-07          9.8504
 2.6207e-06        2.9224e-07         10.0786
 1.0582e-06        3.4342e-07          5.1212
 1.5002e-06        3.0874e-07          3.1022
 1.7233e-06        2.8779e-07          5.7391
 2.7969e-06        2.4829e-07         10.5498
 4.6912e-07        2.6870e-07          0.0999
 2.6460e-06        2.9330e-07         12.5464
 3.9608e-07        3.1818e-07          0.8138
 9.0441e-07        3.0318e-07          3.2509
 2.5276e-06        2.9513e-07          9.7939
 2.5780e-06        2.5102e-07          9.7513
 1.2031e-06        3.5049e-07          2.2399
 2.8168e-06        3.4375e-07         12.8953
 2.7202e-06        3.3090e-07         12.3418
 2.5063e-06        3.4304e-07          9.3966
 1.7671e-06        3.0625e-07          4.8474
 3.8924e-06        3.2035e-07         16.5296
 2.3086e-06        3.2196e-07          9.8427
 1.3435e-06        3.1010e-07          5.0985
 4.7859e-06        3.2700e-07         19.9881
 3.0370e-06        3.5325e-07         14.8673
 3.4642e-06        3.2364e-07         16.7187
 7.4735e-07        2.7069e-07          3.5642
 3.1686e-06        2.9469e-07         11.8710
 1.8459e-06        3.1166e-07          6.5509
 4.2221e-06        3.1412e-07         17.7268
 1.2494e-06        2.9509e-07          6.1375
 4.5321e-06        3.2698e-07         18.5062
 2.0959e-06        2.6927e-07          9.3125
 9.3088e-07        2.5347e-07          3.5022
 2.8647e-06        2.8036e-07          9.6972
 3.2393e-06        3.0432e-07         12.1263
 2.0748e-06        2.8642e-07          8.3908
 5.1999e-07        3.3106e-07          0.2277
 1.7716e-06        3.1542e-07          4.9381
 1.6430e-06        3.3011e-07          7.0066
 3.7899e-06        3.1307e-07         18.6915
 2.4300e-06        3.2804e-07          8.6830
 2.3676e-06        3.0342e-07         10.6023
 2.7426e-06        2.8004e-07         10.0503
 1.8363e-06        3.0218e-07          4.5446
 2.2179e-06        3.1080e-07          7.4338
 1.9125e-06        2.7561e-07          6.7212
 2.3763e-06        3.4322e-07          7.3714
 3.7228e-06        3.1567e-07         15.8848
 1.9386e-06        3.5100e-07          8.8601
 1.6538e-06        3.0680e-07          5.4740
 2.2667e-06        3.4514e-07          9.1312
 3.6232e-06        3.4528e-07         16.4071
 4.7271e-06        3.2636e-07         19.9805
 2.7096e-06        2.8240e-07         11.0419
 3.7693e-06        2.5329e-07         16.9529
 9.3580e-07        3.1962e-07          0.3626
 3.0054e-06        2.8314e-07         13.7930
 1.7347e-06        3.4490e-07          7.2945
 1.5193e-06        2.8078e-07          3.7159
 1.4380e-06        3.2828e-07          6.6122
 2.4818e-06        2.8828e-07          7.8751
 4.8076e-07        3.0270e-07          1.5180
 3.6245e-06        3.3540e-07         15.8658
 1.7473e-06        2.9318e-07          4.3920
 2.2172e-06        3.1708e-07         10.0302
 4.2500e-07        3.5805e-07          0.1135
 3.5919e-06        3.0239e-07         16.8043
 1.5077e-06        3.3737e-07          5.9609
 4.8666e-06        3.0723e-07         19.6363
 2.8580e-06        2.7103e-07         12.6584
 2.3351e-06        3.2350e-07         10.4418
 8.4410e-07        3.1200e-07          1.7890
 1.7769e-06        3.8379e-07          5.7415
 4.2803e-06        2.8279e-07         19.1069
 2.0005e-06        2.7849e-07          7.7622
 2.6784e-06        3.1073e-07         12.3610
 1.3994e-06        2.8528e-07          3.3460
 4.2080e-06        2.8284e-07         16.8213
 2.4402e-06        2.6299e-07          8.7249
 3.3458e-06        3.0391e-07         16.1035
 2.7688e-06        2.7446e-07         11.5712
 2.0107e-06        3.2591e-07          7.9889
 7.6346e-07        2.6853e-07          0.1812
 2.5310e-06        3.0425e-07         10.9361
 1.7203e-06        3.0348e-07          4.1949
 1.6798e-06        3.0806e-07          6.4528
 3.8664e-06        3.0253e-07         15.6583
 2.7897e-06        2.8564e-07          9.9272
 1.8802e-06        2.8535e-07          5.4264
 3.5183e-06        2.6626e-07         14.9144
 3.4926e-06        3.0649e-07         13.6067
 1.3142e-06        3.3333e-07          3.1503
 3.2786e-06        2.7517e-07         13.4757
 9.9771e-07        3.0523e-07          0.3271
 4.5696e-06        2.9579e-07         19.9320
 2.7377e-06        2.9324e-07          9.5993
 3.7823e-06        2.8714e-07         18.0244
 3.4077e-06        3.1660e-07         12.9023
 1.6384e-06        3.1548e-07          4.8050
 2.2625e-06        2.3839e-07          8.3531
 3.3537e-06        3.0809e-07         13.7701
 1.6712e-06        3.3467e-07          7.8121
 4.2104e-06        2.8341e-07         19.0877
 1.1122e-06        3.0236e-07          3.3229
 4.7243e-06        2.6102e-07         19.5303
 2.5329e-06        2.9689e-07         12.0295
 2.2742e-06        2.9008e-07          8.5246
 6.3692e-07        2.4353e-07          1.7726
 1.5238e-06        2.8660e-07          5.5151
 3.0709e-06        3.1455e-07         13.9145
 1.1463e-06        3.0023e-07          1.9368
 2.0220e-06        2.9463e-07          8.2919
 4.2253e-06        2.9897e-07         18.8818
 4.6978e-06        2.8643e-07         18.9366
 2.2300e-06        2.7587e-07          9.2807
 3.4044e-06        3.0136e-07         13.0751
 3.2464e-06        3.2763e-07         13.7404
 7.1347e-07        2.7980e-07          2.5662
 1.8141e-06        2.9499e-07          5.2598
 4.2636e-06        2.4553e-07         18.4598
 2.3116e-06        2.8281e-07         10.9857
 3.4618e-06        2.9250e-07         14.2580
 3.1752e-06        3.0600e-07         13.1297
 4.6870e-06        2.8266e-07         18.9762
 3.4497e-06        3.1380e-07         14.9442
 5.1099e-07        2.8821e-07          0.8744
 2.6770e-06        2.8571e-07         12.4918
 3.1601e-06        3.0599e-07         14.1512
 9.7712e-07        3.1913e-07          2.3461
 4.3017e-06        3.3167e-07         17.3588
 2.7898e-06        3.2029e-07          9.6838
 1.4907e-06        3.0260e-07          3.7844
 3.3187e-06        3.1699e-07         12.7910
 4.1252e-06        2.8136e-07         18.8036
 3.6007e-06        3.3088e-07         15.6614
 3.5842e-06        2.9084e-07         15.2873
 1.5711e-06        3.7091e-07          6.1866
 1.5835e-06        3.0563e-07          5.9536
 1.8951e-06        3.1946e-07          6.2512
 3.9997e-06        3.1124e-07         15.3996
 3.2924e-06        3.1737e-07         13.5924
 1.2653e-06        3.2416e-07          5.9672
 1.5743e-06        3.3339e-07          4.6172
 4.1128e-07        2.9934e-07          1.8450
 1.9947e-06        3.0649e-07          6.0580
 2.8621e-06        3.1355e-07         13.0655
 1.6137e-06        2.7539e-07          4.6062
 9.3116e-07        3.1470e-07          3.6119
 2.0442e-06        2.9951e-07          5.6131
 3.7782e-06        3.1039e-07         16.1811
 2.1241e-06        3.0449e-07          9.4836
 7.5655e-07        3.1942e-07          3.7015
 1.7433e-06        3.1525e-07          4.0850
 3.4398e-06        2.8857e-07         14.2092
 2.2921e-06        3.0853e-07          8.6477
 3.2880e-06        3.0155e-07         14.8759
 3.5580e-06        2.7582e-07         14.9697
 3.9733e-06        2.9309e-07         19.2798
 1.7058e-06        3.2401e-07          6.3919
 4.1759e-06        3.5419e-07         16.5797
 3.2031e-06        2.9663e-07         11.3177
 3.4574e-06        3.2542e-07         16.5775
 2.4908e-06        2.7972e-07          7.8872
 1.1581e-06        3.2495e-07          2.8112
 3.1023e-06        2.9449e-07         11.0849
 1.2881e-06        2.7989e-07          4.2419
 2.7270e-06        2.7459e-07         13.3800
 4.1514e-06        3.2067e-07         18.3638
 9.7336e-07        3.0736e-07          1.2329
 1.6304e-06        3.1209e-07          4.5300
 2.2848e-06        3.3585e-07          9.2139
 2.7765e-06        2.9746e-07         12.0968
 2.8782e-06        3.5227e-07         10.7759
 3.2721e-06        3.4369e-07         11.8967
 3.9309e-06        2.8795e-07         17.9854
 2.8871e-06        2.8561e-07         11.2673
 6.7189e-07        3.0739e-07          2.3369
 4.5616e-06        3.5344e-07         18.9159
 2.6845e-06        3.1322e-07          9.6198
 1.2597e-06        3.0189e-07          5.8064
 2.0059e-06        2.8035e-07          9.4794
 2.3214e-06        3.0500e-07         11.4226
 2.3015e-06        2.7360e-07          9.8983
 1.5577e-06        2.7181e-07          4.4660
 3.6935e-06        2.9138e-07         15.9576
 4.1504e-06        2.3129e-07         16.8151
 1.6811e-06        3.1157e-07          4.2862
 3.2703e-06        3.1448e-07         12.5006
 1.4190e-06        3.3376e-07          2.8407
 1.7483e-06        2.9315e-07          4.6727
 1.6325e-06        2.9388e-07          5.5419
 1.0359e-06        3.1786e-07          2.9047
 2.7390e-06        3.3027e-07         11.0500
 1.0974e-06        3.1275e-07          3.2926
 5.3547e-07        2.9747e-07          1.6558
 1.4275e-06        2.9287e-07          5.1508
 4.0641e-06        3.0014e-07         17.5877
 1.1805e-06        3.3663e-07          1.8035
 2.4604e-06        3.5782e-07          9.1972
 1.3237e-06        2.5946e-07          4.5276
 4.6040e-06        3.0426e-07         18.2958
 2.7533e-06        3.0976e-07         11.1983
 6.5296e-07        3.3332e-07          3.0816
 3.9473e-06        2.7424e-07         16.2696
 4.7667e-06        3.2333e-07         19.4358
 2.0386e-06        3.2111e-07          7.2323
 1.4301e-06        3.0666e-07          7.0540
 1.6811e-06        3.2410e-07          3.7235
 3.8124e-06        3.3384e-07         15.4635
 4.0729e-06        3.0511e-07         19.1709
 1.5508e-06        2.9281e-07          7.5760
 1.1533e-06        2.6786e-07          1.6942
 1.9355e-06        2.6480e-07          8.9553
 3.2396e-06        2.9407e-07         13.6275
 3.0166e-06        3.2720e-07         11.9966
 1.0461e-06        2.9676e-07          5.0580
 4.6446e-06        3.0099e-07         18.4019
 3.4690e-06        2.7235e-07         15.3032
 4.0805e-06        2.9384e-07         16.6836
 1.1473e-06        3.1825e-07          3.0169
 1.0387e-06        2.7550e-07          0.6666
 3.4555e-06        3.1486e-07         15.1674
 2.3944e-06        3.1323e-07          9.6573
 3.6749e-06        3.0890e-07         15.9891
 2.8050e-06        2.8251e-07         13.6757
 2.6811e-06        3.2675e-07         11.6340
 1.5971e-06        3.0301e-07          4.5866
 4.5060e-06        2.6504e-07         19.9462
 2.4810e-06        3.1743e-07         11.8105
 8.4352e-07        3.0355e-07          1.7224
 3.2288e-06        3.1342e-07         11.5011
 5.8373e-07        3.5526e-07          1.6801
 2.3774e-06        3.0917e-07          9.3214
 1.6396e-06        2.7108e-07          7.8555
 1.0841e-06        2.8276e-07          2.2676
 1.2998e-06        2.5491e-07          2.5422
 2.6349e-06        3.2567e-07          9.6178
 8.8432e-07        3.0580e-07          0.6837
 4.0168e-06        3.1144e-07         18.3530
 3.1050e-06        2.7622e-07         15.1476
 2.0050e-06        3.2361e-07          9.5737
 7.4774e-07        3.3670e-07          3.3874
 2.1293e-06        3.2224e-07          9.8364
 2.3068e-06        2.8939e-07         10.8544
 1.4357e-06        2.6905e-07          3.7164
 1.8024e-06        3.3610e-07          7.2608
 3.2192e-06        2.7398e-07         14.0542
 4.2375e-06        2.8974e-07         16.5958
 1.6702e-06        3.2473e-07          6.4304
 1.9613e-06        2.9961e-07          9.6080
 3.7716e-06        2.9739e-07         14.7769
 2.9032e-06        3.1845e-07         10.5476
 2.6298e-07        2.9540e-07          0.8613
 1.9080e-06        3.1426e-07          9.3684
 3.5857e-07        2.8217e-07          0.8627
 3.9620e-06        3.3016e-07         17.0328
 2.7105e-06        3.2212e-07         10.3093
 2.0295e-06        3.0114e-07          6.8729
 1.6233e-06        3.1580e-07          3.5630
 2.2780e-06        3.3543e-07          7.2095
 8.7935e-07        3.5762e-07          0.6769
 4.3718e-06        3.0354e-07         18.8441
 1.9173e-06        3.3584e-07          8.8671
 3.3708e-06        2.8303e-07         12.8245
 3.9476e-07        3.0443e-07          0.2805
 3.7339e-07        3.1788e-07          1.0355
 8.0967e-07        3.0486e-07          2.1064
 3.0022e-06        3.3326e-07         14.1652
 4.4854e-06        3.4945e-07         18.4045
 2.5105e-06        2.6141e-07         11.3932
 3.8529e-06        3.4251e-07         18.5536
 4.4843e-06        2.9397e-07         18.3095
 2.7761e-06        3.4885e-07         11.1779
 3.2062e-06        3.0587e-07         13.5614
 4.6359e-06        2.7201e-07         18.3422
 2.9704e-06        3.2546e-07         12.6482
 3.1024e-06        2.9426e-07         15.2276
 2.1515e-06        2.9542e-07          6.7475
 3.6953e-06        2.5579e-07         15.8597
 4.5376e-06        2.7751e-07         18.7902
 1.5171e-06        3.1225e-07          5.8268
 2.4558e-06        3.2546e-07          8.6590
 1.3827e-06        2.6703e-07          2.8383
 3.5838e-06        3.3576e-07         17.1791
 1.3403e-06        3.1093e-07          5.0498
 4.2743e-06        3.1216e-07         17.2967
 3.2445e-06        3.0278e-07         15.9758
 4.2317e-06        3.2414e-07         19.6543
 2.1259e-06        3.1497e-07          7.8890
 1.2982e-06        2.7105e-07          2.1860
 3.7062e-06        3.0495e-07         14.9780
 2.2527e-06        3.1395e-07          7.7411
 3.0784e-06        2.9842e-07         11.5772
 2.5231e-06        2.7940e-07         10.8236
 2.3002e-06        3.1210e-07          8.4782
 1.2655e-06        2.8367e-07          5.0993
 3.9841e-06        3.4364e-07         15.7336
 4.2280e-06        2.8416e-07         18.5264
 2.3697e-06        2.8847e-07          9.5826
