    Turn#  VBS        VBS_Error
  346.0    22.7164    1.2820
  347.0    19.9853    2.8435
  348.0    18.8282    3.0900
  349.0    21.3355    2.8219
  350.0    20.0453    1.9688
  351.0    17.2143    2.7667
  352.0    19.5740    2.3331
  353.0    17.0484    3.3831
  354.0    20.3371    3.8606
  355.0    21.3643    2.2715
  356.0    14.4536    3.0870
  357.0    19.4321    3.3466
  358.0    22.2849    2.8749
  359.0    20.3720    2.5492
  360.0    23.0032    3.0324
  361.0    18.6685    2.7141
  362.0    24.5457    3.3175
  363.0    21.0511    3.2106
  364.0    21.1358    3.2952
  365.0    20.0159    4.0697
  366.0    19.4014    2.4729
  367.0    18.9681    3.7394
  368.0    21.9538    3.7325
  369.0    19.4646    3.0943
  370.0    15.4642    3.5910
  371.0    19.7313    3.0350
  372.0    22.5337    2.8291
  373.0    21.0771    2.5513
  374.0    18.6704    3.3385
  375.0    19.4706    2.0215
  376.0    18.6553    4.8184
  377.0    21.2321    3.1344
  378.0    18.9775    1.8628
  379.0    20.3390    1.0756
  380.0    17.6915    2.0905
  381.0    19.4668    3.6710
  382.0    21.2899    2.7227
  383.0    15.9337    2.6668
  384.0    17.0361    3.2684
  385.0    18.5359    3.8855
  386.0    19.7066    2.0507
  387.0    20.1981    3.4484
  388.0    18.7602    3.3861
  389.0    20.8483    3.2403
  390.0    19.1836    2.9202
  391.0    19.6643    2.9197
  392.0    16.3607    2.9886
  393.0    17.0239    3.0800
  394.0    17.0839    3.8517
  395.0    22.0524    2.6630
  396.0    25.1615    3.7121
  397.0    22.1335    1.7045
  398.0    16.8356    2.5611
  399.0    19.1808    2.1803
  400.0    21.6377    2.6733
  401.0    19.5866    2.6572
  402.0    19.7794    3.8576
  403.0    15.4238    2.3991
  404.0    18.8227    3.3467
  405.0    17.4423    2.6720
  406.0    21.7587    2.2325
  407.0    22.6190    3.2139
  408.0    21.4248    2.9907
  409.0    17.5064    2.0003
  410.0    20.3835    3.4472
  411.0    21.8105    2.9462
  412.0    24.1203    3.1156
  413.0    18.9925    3.0658
  414.0    18.4601    3.4297
  415.0    23.8919    3.6501
  416.0    20.6207    2.1495
  417.0    18.4083    3.2519
  418.0    19.8085    3.8640
  419.0    21.6521    2.1039
  420.0    21.5824    3.4179
  421.0    24.3768    3.0533
  422.0    20.6575    2.0154
  423.0    18.8492    2.0665
  424.0    19.6301    2.5128
  425.0    16.7798    2.9972
  426.0    17.8983    3.7924
  427.0    25.5685    3.0954
  428.0    20.7057    1.7760
  429.0    23.7435    2.6101
  430.0    20.9772    2.8742
  431.0    20.8589    2.9460
  432.0    20.3267    2.3350
  433.0    20.3317    2.0698
  434.0    19.7286    3.1141
  435.0    19.3039    3.2036
  436.0    22.2125    2.0038
  437.0    16.3616    2.6126
  438.0    21.0705    3.2161
  439.0    19.1116    3.3626
  440.0    25.1969    2.3256
  441.0    17.8848    1.8563
  442.0    20.3340    3.4967
  443.0    19.0712    3.6813
  444.0    19.4211    3.1523
  445.0    22.5347    3.3674
  446.0    20.7892    3.8915
  447.0    17.7149    2.7095
  448.0    20.7405    2.7768
  449.0    18.5904    3.4502
  450.0    18.7309    3.2469
  451.0    19.5416    2.7276
  452.0    21.1431    3.1819
  453.0    15.0657    2.7881
  454.0    17.3035    3.0699
  455.0    18.2063    2.9912
  456.0    23.1339    4.0636
  457.0    21.9964    2.0012
  458.0    23.6680    3.6719
  459.0    20.6336    4.5190
  460.0    18.8476    4.1211
  461.0    17.2338    2.7517
  462.0    17.0686    3.3516
  463.0    20.9099    2.5930
  464.0    16.4826    1.3140
  465.0    17.6159    2.1034
  466.0    21.6527    3.6734
  467.0    14.9946    1.9079
  468.0    18.8026    3.5921
  469.0    23.1330    3.9190
  470.0    19.0090    2.5890
  471.0    17.4156    3.3443
  472.0    21.9120    2.0437
  473.0    19.6504    2.6679
  474.0    21.5054    3.7149
  475.0    22.9988    3.3047
  476.0    18.9532    2.7015
  477.0    17.0642    3.7277
  478.0    17.7541    1.7829
  479.0    17.9325    3.9069
  480.0    20.6321    2.7708
  481.0    20.5107    3.2428
  482.0    21.0949    2.8873
  483.0    25.7111    3.6614
  484.0    13.8076    2.4054
  485.0    19.9188    3.3107
  486.0    19.2881    2.9713
  487.0    19.1877    2.1773
  488.0    25.3244    2.8774
  489.0    25.8116    2.4436
  490.0    19.3570    2.1820
  491.0    17.8610    3.5638
  492.0    21.8894    2.4528
  493.0    20.3774    2.7248
  494.0    22.0691    2.5192
  495.0    23.8894    2.0310
  496.0    20.7269    2.0544
  497.0    18.1859    2.3277
  498.0    23.8720    2.8984
  499.0    20.8146    2.0988
  500.0    17.5998    3.2172
  501.0    19.7422    3.4129
  502.0    22.8928    2.4254
  503.0    17.5737    3.2851
  504.0    19.6980    3.0081
  505.0    17.7861    2.4071
  506.0    21.1170    3.9751
  507.0    19.1337    3.6926
  508.0    23.4243    3.6700
  509.0    23.7910    3.2242
  510.0    15.9644    2.4851
  511.0    19.6136    2.0925
  512.0    18.6895    3.7967
  513.0    18.0488    3.1269
  514.0    20.7032    4.1533
  515.0    19.3704    3.4034
  516.0    16.9216    2.4518
  517.0    20.8164    3.3277
  518.0    18.8196    3.1717
  519.0    18.3182    3.3589
  520.0    18.2441    3.1571
  521.0    20.8810    3.8956
  522.0    17.2264    3.1336
  523.0    15.6840    3.0793
  524.0    21.9608    2.3330
  525.0    19.4871    3.7679
  526.0    24.1395    3.0013
  527.0    23.7146    2.9009
  528.0    17.8152    2.9351
  529.0    15.6435    2.4836
  530.0    18.4469    3.8615
  531.0    20.5564    4.2776
  532.0    21.1128    3.2210
  533.0    19.4407    2.4428
  534.0    20.4237    2.7649
  535.0    16.1069    3.3218
  536.0    19.5875    3.1637
  537.0    18.6990    3.4284
  538.0    18.5037    3.2224
  539.0    21.6705    2.9217
  540.0    17.6991    3.1492
  541.0    22.6930    1.6387
  542.0    20.2850    3.0882
  543.0    20.8749    2.7633
  544.0    20.8455    2.6537
  545.0    20.6382    3.7176
  546.0    19.7731    2.3255
  547.0    19.7416    3.2713
  548.0    19.3244    4.0383
  549.0    18.8971    2.7343
  550.0    24.0742    3.1867
  551.0    21.3383    3.8335
  552.0    18.3620    2.8839
  553.0    22.1737    2.5021
  554.0    20.5972    2.2729
  555.0    21.2733    4.3973
  556.0    19.5937    2.7486
  557.0    24.1527    2.4137
  558.0    19.0585    2.9795
  559.0    21.5175    2.3193
  560.0    17.5806    3.1903
  561.0    19.5271    1.9525
  562.0    15.6910    1.9174
  563.0    20.0495    3.2832
  564.0    21.6677    2.3363
  565.0    14.9729    3.3701
  566.0    19.7895    2.9889
  567.0    18.9848    2.8053
  568.0    24.7544    2.9038
  569.0    21.2770    1.6429
  570.0    16.2816    2.5114
  571.0    20.3670    3.2260
  572.0    26.2745    1.9017
  573.0    15.6796    2.8243
  574.0    17.8264    2.3509
  575.0    22.3822    2.7333
  576.0    21.1713    3.1272
  577.0    15.9984    3.4787
  578.0    19.3592    2.5862
  579.0    19.6170    3.2458
  580.0    22.7624    3.0638
  581.0    15.6883    3.5215
  582.0    18.6338    4.1533
  583.0    21.5251    3.4088
  584.0    19.1474    2.4730
  585.0    18.1752    2.1896
  586.0    17.9408    3.7387
  587.0    18.5044    2.9628
  588.0    23.8935    2.6883
  589.0    19.4964    3.4321
  590.0    20.4985    3.2891
  591.0    19.0541    2.8894
  592.0    24.0498    4.2634
  593.0    19.9141    2.5162
  594.0    19.7729    2.6391
  595.0    18.2036    1.7660
  596.0    16.1248    2.9816
  597.0    18.3823    3.8264
  598.0    15.3720    2.4196
  599.0    21.2569    3.2931
  600.0    18.8995    2.3729
  601.0    14.0719    2.7026
  602.0    21.1739    2.9244
  603.0    16.5770    3.5973
  604.0    21.8424    2.8810
  605.0    20.2055    3.0460
  606.0    20.4460    3.4824
  607.0    19.0992    3.9931
  608.0    17.1381    2.7988
  609.0    17.9978    2.5839
  610.0    15.8702    3.7286
  611.0    20.1907    2.9207
  612.0    20.2405    2.5558
  613.0    19.0751    3.5609
  614.0    19.8336    3.3194
  615.0    21.6384    3.6426
  616.0    18.6626    2.5342
  617.0    20.9486    2.4107
  618.0    22.9390    2.3292
  619.0    22.7290    4.0165
  620.0    16.7788    3.7388
  621.0    21.2975    3.0723
  622.0    19.4051    2.8839
  623.0    22.2073    2.5958
  624.0    18.4755    4.9314
  625.0    23.9787    3.6795
  626.0    22.3950    2.9841
  627.0    15.6511    2.8806
  628.0    21.9036    3.4197
  629.0    24.0111    3.7639
  630.0    21.1346    2.6552
  631.0    19.2933    3.3191
  632.0    18.8225    2.7220
  633.0    23.6359    2.9164
  634.0    16.0469    1.6295
  635.0    20.6130    2.7006
  636.0    19.0064    2.9127
  637.0    20.0931    2.3631
  638.0    19.9366    1.6277
  639.0    17.6653    2.7536
  640.0    20.6935    3.1736
  641.0    23.1669    4.0515
  642.0    21.1124    2.4834
  643.0    21.3331    3.7829
  644.0    22.8206    3.0640
  645.0    16.3610    2.1946
  646.0    19.0847    3.3254
  647.0    18.5265    2.0195
  648.0    23.3025    2.7171
  649.0    22.5009    3.2732
  650.0    16.7369    3.0345
  651.0    21.6847    2.5714
  652.0    18.2642    3.2002
  653.0    17.4054    2.5739
  654.0    23.3145    2.7851
  655.0    21.1366    2.6945
  656.0    16.1408    2.7010
  657.0    18.5962    3.1257
  658.0    18.7424    3.6315
  659.0    14.8605    3.2431
  660.0    18.6694    3.6029
  661.0    20.1706    4.0199
  662.0    18.9787    2.8016
  663.0    21.1881    3.6584
  664.0    16.9802    1.3437
  665.0    19.5240    3.1556
  666.0    23.8080    2.8371
  667.0    20.2295    3.4190
  668.0    18.4538    2.3663
  669.0    19.4252    1.8896
  670.0    21.2639    2.3523
  671.0    16.1110    3.0366
  672.0    21.1960    2.8534
  673.0    21.3273    3.4714
  674.0    21.7047    2.8700
  675.0    20.6634    2.6548
  676.0    23.7742    2.5500
  677.0    17.1186    2.6086
  678.0    18.2643    2.2009
  679.0    16.8076    4.0808
  680.0    20.1678    2.4226
  681.0    22.6678    2.4010
  682.0    23.8356    2.8177
  683.0    18.0784    3.8252
  684.0    18.6057    3.0056
  685.0    21.8179    3.1815
  686.0    18.4024    1.6836
  687.0    18.0447    3.4266
  688.0    22.6910    3.1535
  689.0    22.3178    3.2018
  690.0    23.6306    3.9370
  691.0    18.5417    3.0126
  692.0    21.5032    3.8021
  693.0    20.3691    2.6782
  694.0    19.9252    2.1669
  695.0    18.6695    2.4628
  696.0    20.4558    2.8474
  697.0    22.8642    3.1228
  698.0    17.1662    3.2745
  699.0    17.5120    3.1296
  700.0    26.1131    2.7265
  701.0    20.5042    3.7161
  702.0    17.4623    3.7840
  703.0    18.9979    3.5204
  704.0    18.6655    4.0817
  705.0    22.9830    2.5712
  706.0    24.5730    2.8254
  707.0    22.0165    3.1112
  708.0    19.9878    4.2694
  709.0    16.1535    2.0516
  710.0    22.0297    1.6478
  711.0    22.0541    3.8169
  712.0    16.2840    2.9797
  713.0    18.5031    3.5829
  714.0    18.4168    3.5024
  715.0    18.0892    3.6734
  716.0    20.9320    2.2588
  717.0    17.1223    3.0354
  718.0    15.0549    3.5723
  719.0    23.6911    3.4133
  720.0    17.1313    3.1503
  721.0    25.5943    3.7861
  722.0    21.3645    3.5463
  723.0    23.3585    3.1200
  724.0    19.7337    2.8314
  725.0    20.4038    2.8548
  726.0    18.0897    2.4190
  727.0    21.5197    2.6468
  728.0    17.6471    2.1429
  729.0    16.5661    3.4291
  730.0    19.0899    3.3869
  731.0    23.0385    2.8332
  732.0    21.8136    4.8100
  733.0    19.1616    3.2798
  734.0    19.2363    3.6981
  735.0    18.9994    2.7393
  736.0    21.6574    2.9864
  737.0    18.2884    1.6457
  738.0    16.4803    2.6621
  739.0    21.9708    3.4368
  740.0    21.3655    3.6424
  741.0    19.5016    3.2385
  742.0    19.8454    3.2808
  743.0    19.5363    3.6455
  744.0    16.0958    4.4762
  745.0    19.3244    2.2299
  746.0    17.1374    2.9742
  747.0    23.2545    2.4104
  748.0    21.0476    2.4839
  749.0    22.3867    2.6552
  750.0    18.0062    4.3603
  751.0    20.6987    3.8176
  752.0    22.3937    3.1314
  753.0    23.3835    2.9287
  754.0    21.3651    2.0289
  755.0    16.9451    3.4783
  756.0    19.1147    2.7436
  757.0    20.9606    1.3568
  758.0    19.0992    2.3251
  759.0    21.1808    3.0191
  760.0    16.1700    2.9379
  761.0    19.4355    3.3277
  762.0    18.4358    2.1566
  763.0    19.8111    3.3133
  764.0    20.9022    3.4129
  765.0    17.6581    2.4676
  766.0    18.3272    3.3858
  767.0    20.7091    3.2194
  768.0    22.5438    3.4235
  769.0    19.5646    3.1010
  770.0    25.5702    3.9010
  771.0    18.8787    1.8346
  772.0    19.0189    3.0839
  773.0    15.0059    3.8143
  774.0    23.5483    2.9927
  775.0    19.0196    3.4696
  776.0    21.8277    2.9199
  777.0    18.6092    3.1610
  778.0    24.6537    2.0906
  779.0    24.2951    1.8524
  780.0    17.9077    3.3590
  781.0    22.7738    2.4603
  782.0    19.5405    2.4899
  783.0    16.1470    3.7131
  784.0    18.7966    3.0191
  785.0    25.2826    3.2136
  786.0    19.9345    3.4502
  787.0    20.6008    2.2460
  788.0    21.8357    3.0053
  789.0    19.7775    3.4762
  790.0    20.4888    2.6575
  791.0    16.9815    3.4070
  792.0    21.9686    3.1270
  793.0    20.2293    2.9439
  794.0    19.7042    2.8687
  795.0    23.5840    3.7254
  796.0    19.0679    3.4623
  797.0    18.5506    2.5520
  798.0    19.6944    3.1295
  799.0    18.5863    2.1005
  800.0    22.0009    2.7212
  801.0    20.0574    3.3655
  802.0    20.2085    3.0142
  803.0    20.8937    3.3429
  804.0    18.5588    3.2200
  805.0    21.5168    3.2205
  806.0    16.1933    3.7171
  807.0    17.3992    4.2158
  808.0    18.3465    2.8628
  809.0    22.7233    2.1512
  810.0    21.1594    3.4598
  811.0    21.3449    2.5455
  812.0    21.1379    2.3878
  813.0    20.7470    2.6551
  814.0    20.4732    2.4901
  815.0    21.0328    2.6925
  816.0    17.8703    1.6210
  817.0    21.1764    4.0865
  818.0    18.6116    3.8993
  819.0    19.5383    2.4924
  820.0    20.2066    2.7448
  821.0    21.7360    2.4630
  822.0    20.3235    3.1799
  823.0    20.3181    3.1791
  824.0    18.9411    2.0757
  825.0    20.8452    2.4090
  826.0    22.7841    2.8075
  827.0    22.1568    4.0777
  828.0    19.1516    2.6239
  829.0    22.7793    3.1981
  830.0    20.0932    3.0889
  831.0    18.1525    3.6562
  832.0    18.8503    3.6938
  833.0    18.7846    3.9100
  834.0    20.7428    1.0608
  835.0    19.5435    3.7875
  836.0    19.2028    2.5934
  837.0    21.1221    3.9150
  838.0    21.8548    3.0708
  839.0    21.2880    3.3240
  840.0    19.5496    3.2485
  841.0    19.9677    3.4384
  842.0    21.5527    2.1078
  843.0    18.6327    2.2309
  844.0    20.2402    1.5764
  845.0    19.7049    3.6613
  846.0    21.0907    3.8822
  847.0    19.9635    2.6639
  848.0    15.4131    4.6472
  849.0    20.7269    3.6660
  850.0    21.3381    2.7579
  851.0    19.2009    1.4222
  852.0    17.4843    2.7349
  853.0    18.3470    3.4547
  854.0    21.1415    2.6836
  855.0    17.0384    3.4886
  856.0    19.7990    3.2089
  857.0    20.8651    2.9253
  858.0    21.7905    3.1425
  859.0    20.1166    2.3345
  860.0    20.0996    3.5730
  861.0    18.9781    3.2507
  862.0    21.5874    5.0816
  863.0    18.2039    2.8725
  864.0    18.9252    2.0419
  865.0    20.4592    3.2034
  866.0    19.0939    2.9719
  867.0    19.7440    2.8111
  868.0    17.8660    2.5504
  869.0    17.7074    3.4368
  870.0    19.9353    3.2050
  871.0    18.2474    1.6460
  872.0    20.1244    3.3913
  873.0    22.8589    1.8615
  874.0    20.7422    3.0991
  875.0    20.1154    2.9309
  876.0    24.8616    2.2763
  877.0    20.5035    3.2761
  878.0    15.0582    3.2743
  879.0    23.6451    2.8207
  880.0    19.2718    2.0899
  881.0    20.7576    3.6478
  882.0    16.8565    2.1554
  883.0    18.4989    3.0600
  884.0    22.8019    3.3513
  885.0    19.7944    2.4728
  886.0    20.1522    3.3368
  887.0    18.1955    3.1438
  888.0    20.6753    3.8291
  889.0    23.8903    1.8355
  890.0    22.7361    2.5941
  891.0    16.7190    2.6210
  892.0    18.8066    3.1953
  893.0    19.4606    2.1549
  894.0    19.1293    1.8079
  895.0    23.9558    2.5977
  896.0    21.7385    3.4171
  897.0    18.3640    2.0455
  898.0    16.1711    3.5044
  899.0    19.7008    3.6643
  900.0    18.8302    1.1704
  901.0    17.2872    3.4973
  902.0    20.5195    4.1692
  903.0    20.8663    1.8793
  904.0    26.2067    3.6706
  905.0    16.3501    3.1381
  906.0    19.8887    2.5264
  907.0    15.4659    2.4082
  908.0    20.6864    2.6526
  909.0    17.8572    3.0307
  910.0    26.5144    3.1535
  911.0    21.9233    2.6616
  912.0    16.1065    2.2956
  913.0    21.3557    3.0301
  914.0    19.8822    3.5381
  915.0    25.2029    3.6018
  916.0    19.1630    3.1882
  917.0    22.3528    3.0440
  918.0    23.6835    3.7725
  919.0    21.4979    2.0273
  920.0    17.0098    2.3694
  921.0    22.6191    2.9838
  922.0    24.7528    2.9248
  923.0    19.9737    2.8599
  924.0    23.2098    3.6586
  925.0    20.4665    2.6873
  926.0    19.0615    2.7731
  927.0    21.7031    3.6337
  928.0    24.1126    3.6489
  929.0    17.3051    3.6288
  930.0    20.3161    2.5568
  931.0    19.4979    2.9098
